total_trades,direction_accuracy,hit_ratio,profit_factor,sharpe_ratio,max_drawdown,expectancy,avg_mfe,avg_mae_excursion,mfe_mae_ratio,long_win_rate,short_win_rate,avg_win,avg_loss,avg_rmse,avg_mae,data_path,window_start_time,window_end_time,extend_sessions,forecast_horizon,n_neighbors,distance_metric,norm_method,min_train_windows,tp_threshold,sl_threshold,resample,timezone,max_test_days
40,0.5,0.5238095238095238,1.4544035733006044,2.2410651968181443,0.03541699231831781,0.0008508356527719882,0.0039551058386263285,-0.0024454893688181335,1.6173064945842595,0.42857142857142855,0.5151515151515151,0.005446517089180142,0.0037448457836361656,0.001184276832120764,0.0009612991118985434,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,20,20,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.5,0.5238095238095238,1.3866918206169572,1.9565481353853542,0.01680766193105787,0.0007445923291264475,0.0037213643434296367,-0.002679230864014825,1.388967406061147,0.45454545454545453,0.5172413793103449,0.005340273765534602,0.003851089107281707,0.0012023282300077387,0.0009773978905905315,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,20,10,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.525,0.4666666666666667,1.3727437505015836,1.9599315462016387,0.021253027680129273,0.0005481008697313207,0.0024745915911300515,-0.0021171829731976622,1.1688132874942696,0.48148148148148145,0.6153846153846154,0.0038448578888984905,0.0030956832040850255,0.001309494166712363,0.001069846040239942,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,10,20,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.55,0.5833333333333334,1.3306667348985595,1.5900913847448934,0.024998245510940043,0.0006983652561198934,0.003844464208283728,-0.0035472563225290876,1.0837852860722341,0.5,0.6,0.005109739131442685,0.004693313924830186,0.001139216274606062,0.0008958778779327697,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,30,10,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
40,0.475,0.6190476190476191,1.2183536047133185,1.1828437346105043,0.020981830490991192,0.0004523551185084767,0.0033650920953036643,-0.0030355031121407977,1.1085780415920652,0.4444444444444444,0.5,0.005313722689385928,0.003946025064666359,0.0012352060115213414,0.0009898938276583962,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,20,10,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
40,0.5,0.5,1.2156901467561003,1.0880620804087904,0.020149308634710716,0.00047917436399372857,0.004123120146999412,-0.0032686003838134033,1.2614329262817559,0.42857142857142855,0.5384615384615384,0.005401522152460789,0.004443173424473332,0.0011549250982708639,0.0009230397765606949,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,30,5,euclidean,log_returns,30,0.005,0.005,5min,America/New_York,40
40,0.425,0.5238095238095238,1.1589517247733017,0.8836414165184711,0.039828822700679375,0.0003383547128189843,0.0033102983000040617,-0.003090296907440401,1.0711910211714515,0.4090909090909091,0.4444444444444444,0.0058047484108554575,0.003702023237903626,0.0011912495016775802,0.0009595856238319665,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,20,20,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
40,0.6,0.5333333333333333,0.9806090505170787,-0.12120652601948335,0.04136661950030278,-3.4158695302895616e-05,0.00232028188695091,-0.0022714926773768035,1.0214789200335217,0.5416666666666666,0.6875,0.002879034348590999,0.004403948261143737,0.0013310935915827843,0.0010818626169583824,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,10,15,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
40,0.575,0.5333333333333333,0.9545546968827165,-0.28789035667757157,0.04136661950030278,-8.112265105865782e-05,0.0022210133275305825,-0.002370761236797131,0.936835516397739,0.5217391304347826,0.6470588235294118,0.0029633715326551624,0.004200144193730297,0.0013913163081275526,0.0011280000632483216,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,10,10,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
40,0.575,0.5333333333333333,0.8849429192332676,-0.7565421105869504,0.044842078336610317,-0.00021296886009624077,0.002260333332618628,-0.002331441231709085,0.9695004540010084,0.52,0.6666666666666666,0.002848722655231177,0.004355257380833336,0.001450453465599576,0.0011667359646431214,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,10,5,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
40,0.4,0.4583333333333333,0.8661322088500197,-0.8009187912335117,0.040484664521741404,-0.0003531067212650175,0.003462387609090624,-0.003929332921722191,0.88116422763513,0.38461538461538464,0.42857142857142855,0.0057115513340025535,0.004396212091443399,0.001099717861384865,0.0008680455283432583,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,30,20,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
40,0.525,0.5333333333333333,0.8192911390511138,-1.2334752942199074,0.04398843251010259,-0.0003465598148125156,0.0022312134865552237,-0.0023605610777724896,0.9452047259292596,0.4782608695652174,0.5882352941176471,0.002992800094094837,0.004037431293078537,0.00132818363966764,0.0010819188200780064,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,10,20,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
40,0.35,0.47619047619047616,0.8154878422359942,-1.2215498450798485,0.05728668605684081,-0.00046706955480532936,0.003011736223747652,-0.0033888589836968104,0.8887168920974794,0.3157894736842105,0.38095238095238093,0.005898016973718321,0.0038944238393949873,0.0012937094952897303,0.0010206888073111815,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,20,5,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
40,0.35,0.375,0.5681501882962114,-3.1313462375815777,0.07305537088699553,-0.001355555725118167,0.002968208184608279,-0.0044235123462045365,0.671007098500598,0.3,0.4,0.005095417233355563,0.004829156548911713,0.001196476700255638,0.0009280924413470247,data/test/NQ_2024-09-06_2025-09-13.parquet,08:00:00,09:30:00,1,30,5,euclidean,pct_change,30,0.005,0.005,5min,America/New_York,40
